FULLREEF_ID,REEF,year,Dist.time,Dist.type,Dist.number,Recovery year,DISTURBANCE_TYPE,A_SECTOR,COVER,change,DHW
11016S,McSweeney Reef,2021,Recovery,Pre,0,no,n,CG,11.00056303,2.480275803,6.18
11016S,McSweeney Reef,2022,Recovery,Pre,0,no,n,CG,10.34869273,-0.6518703,3.68
11016S,McSweeney Reef,2023,Recovery,Pre,0,no,n,CG,12.02968491,1.680992182,0.78
11029S,Monsoon Reef,2021,Before,Single,1,no,n,CG,18.02315964,6.754675052,5.87
11029S,Monsoon Reef,2022,After,Single,1,no,u,CG,12.29327392,-5.729885723,3.79
11029S,Monsoon Reef,2023,Recovery,Single,1,yes,n,CG,16.11262808,3.819354159,0.77
11049S,Reef 11-049,2020,Recovery,Pre,0,no,n,CG,14.66067199,-2.104707236,10.26999977
11049S,Reef 11-049,2021,Recovery,Pre,0,no,n,CG,24.11917269,9.458500705,5.49
11049S,Reef 11-049,2022,Recovery,Pre,0,no,n,CG,19.71731912,-4.401853572,3.91
11049S,Reef 11-049,2023,Recovery,Pre,0,no,n,CG,21.76845493,2.051135807,1.03
11162S,Reef 11-162,2021,Recovery,Pre,0,no,n,CG,16.90460428,2.066944325,4.296666667
11162S,Reef 11-162,2022,Recovery,Pre,0,no,n,CG,17.73062358,0.826019305,3.306666667
11162S,Reef 11-162,2023,Recovery,Pre,0,no,n,CG,18.65444323,0.92381965,0.563333333
12056S,Mantis Reef,2019,Before,Single,1,no,n,CG,33.8232275,,
12056S,Mantis Reef,2020,After,Single,1,no,s,CG,29.20251372,-4.620713775,7.14999984
12056S,Mantis Reef,2021,Before,Single,2,yes,n,CG,33.36403188,4.161518155,8.4
12056S,Mantis Reef,2022,After,Single,2,no,b,CG,18.27195906,-15.09207282,9.58
12056S,Mantis Reef,2023,Recovery,Single,2,no,b,CG,17.96235489,-0.309604167,2.97
12061S,Lagoon Reef,2020,Recovery,Pre,0,no,n,CG,27.57234215,0.2233563,4.476666567
12061S,Lagoon Reef,2021,Recovery,Pre,0,no,n,CG,27.0982824,-0.474059746,5.636666667
12061S,Lagoon Reef,2022,Recovery,Pre,0,no,n,CG,30.49984155,3.401559152,6.433333333
12061S,Lagoon Reef,2023,Recovery,Pre,0,no,n,CG,32.4396558,1.939814243,1.656666667
13124S,Reef 13-124,2020,Recovery,Pre,0,no,u,PC,25.59897879,-4.766089664,6.229999861
13124S,Reef 13-124,2021,Recovery,Pre,0,no,n,PC,30.43588386,4.836905068,5.18
13124S,Reef 13-124,2022,Recovery,Pre,0,no,n,PC,30.69294307,0.257059214,4.56
13124S,Reef 13-124,2023,Recovery,Pre,0,no,n,PC,30.39507872,-0.297864347,3.1
13130S,Davie Reef,2019,Before,Single,1,no,n,PC,50.95246437,,
13130S,Davie Reef,2020,After,Single,1,no,s,PC,28.95523143,-21.99723294,6.299999859
13130S,Davie Reef,2021,Recovery,Single,1,no,n,PC,33.81962788,4.864396444,5.53
